Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,354,13
Großrosseln,328,4
Heusweiler,735,19
Kleinblittersdorf,635,10
Püttlingen,747,9
Quierschied,508,12
Riegelsberg,633,15
Saarbrücken,8793,199
Sulzbach/Saar,628,39
Völklingen,2260,56
