Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,401,9
Großrosseln,355,9
Heusweiler,846,15
Kleinblittersdorf,704,18
Püttlingen,877,26
Quierschied,583,10
Riegelsberg,718,5
Saarbrücken,10277,213
Sulzbach/Saar,726,13
Völklingen,2668,92
