Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,348,26
Großrosseln,328,17
Heusweiler,717,26
Kleinblittersdorf,629,7
Püttlingen,745,16
Quierschied,503,7
Riegelsberg,628,24
Saarbrücken,8711,370
Sulzbach/Saar,605,32
Völklingen,2247,115
