Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,549,38
Großrosseln,435,23
Heusweiler,1108,48
Kleinblittersdorf,1031,69
Püttlingen,1193,88
Quierschied,853,68
Riegelsberg,912,55
Saarbrücken,12670,715
Sulzbach/Saar,1164,97
Völklingen,3400,179
