Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,424,10
Großrosseln,368,2
Heusweiler,888,8
Kleinblittersdorf,721,6
Püttlingen,923,22
Quierschied,612,3
Riegelsberg,752,17
Saarbrücken,10643,105
Sulzbach/Saar,772,29
Völklingen,2818,22
