Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,432,7
Großrosseln,371,2
Heusweiler,908,12
Kleinblittersdorf,729,7
Püttlingen,940,10
Quierschied,627,12
Riegelsberg,764,4
Saarbrücken,10841,154
Sulzbach/Saar,803,26
Völklingen,2869,36
