Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,551,32
Großrosseln,437,19
Heusweiler,1119,47
Kleinblittersdorf,1041,53
Püttlingen,1199,85
Quierschied,865,66
Riegelsberg,919,54
Saarbrücken,12801,714
Sulzbach/Saar,1178,90
Völklingen,3439,173
