Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,411,7
Großrosseln,361,3
Heusweiler,873,17
Kleinblittersdorf,715,7
Püttlingen,890,8
Quierschied,606,15
Riegelsberg,728,5
Saarbrücken,10482,84
Sulzbach/Saar,740,5
Völklingen,2775,39
