Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,661,28
Großrosseln,515,16
Heusweiler,1270,19
Kleinblittersdorf,1114,5
Püttlingen,1371,36
Quierschied,997,17
Riegelsberg,1077,28
Saarbrücken,14719,375
Sulzbach/Saar,1366,37
Völklingen,3856,50
