Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,540,38
Großrosseln,428,21
Heusweiler,1100,47
Kleinblittersdorf,1024,82
Püttlingen,1177,90
Quierschied,840,72
Riegelsberg,897,54
Saarbrücken,12491,692
Sulzbach/Saar,1142,113
Völklingen,3373,204
