Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,306,21
Großrosseln,299,25
Heusweiler,686,40
Kleinblittersdorf,612,20
Püttlingen,701,30
Quierschied,479,36
Riegelsberg,594,48
Saarbrücken,8049,731
Sulzbach/Saar,558,37
Völklingen,2049,148
