Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,384,6
Großrosseln,346,11
Heusweiler,816,29
Kleinblittersdorf,671,10
Püttlingen,840,48
Quierschied,569,26
Riegelsberg,703,45
Saarbrücken,9918,376
Sulzbach/Saar,706,15
Völklingen,2531,91
