Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,414,3
Großrosseln,366,5
Heusweiler,882,9
Kleinblittersdorf,716,1
Püttlingen,902,12
Quierschied,609,3
Riegelsberg,739,11
Saarbrücken,10546,64
Sulzbach/Saar,747,7
Völklingen,2800,25
