Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,369,4
Großrosseln,331,1
Heusweiler,757,7
Kleinblittersdorf,648,4
Püttlingen,779,1
Quierschied,536,12
Riegelsberg,647,5
Saarbrücken,9282,178
Sulzbach/Saar,674,12
Völklingen,2363,58
