Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,355,8
Großrosseln,329,4
Heusweiler,741,23
Kleinblittersdorf,635,6
Püttlingen,748,2
Quierschied,509,10
Riegelsberg,634,6
Saarbrücken,8825,148
Sulzbach/Saar,636,33
Völklingen,2264,25
