Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,357,5
Großrosseln,329,1
Heusweiler,745,17
Kleinblittersdorf,635,2
Püttlingen,753,4
Quierschied,516,10
Riegelsberg,636,4
Saarbrücken,8883,102
Sulzbach/Saar,645,25
Völklingen,2269,12
