Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,418,7
Großrosseln,366,5
Heusweiler,882,7
Kleinblittersdorf,716,1
Püttlingen,910,17
Quierschied,609,1
Riegelsberg,741,12
Saarbrücken,10560,63
Sulzbach/Saar,757,16
Völklingen,2803,24
