Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,411,7
Großrosseln,361,3
Heusweiler,872,17
Kleinblittersdorf,713,5
Püttlingen,890,8
Quierschied,606,15
Riegelsberg,727,6
Saarbrücken,10469,84
Sulzbach/Saar,739,4
Völklingen,2771,40
