Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,652,20
Großrosseln,512,15
Heusweiler,1264,26
Kleinblittersdorf,1112,6
Püttlingen,1363,34
Quierschied,991,17
Riegelsberg,1067,24
Saarbrücken,14620,376
Sulzbach/Saar,1360,43
Völklingen,3842,57
