Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,434,8
Großrosseln,371,2
Heusweiler,919,21
Kleinblittersdorf,729,7
Püttlingen,943,11
Quierschied,631,15
Riegelsberg,767,7
Saarbrücken,10889,162
Sulzbach/Saar,809,26
Völklingen,2880,39
