Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,390,7
Großrosseln,346,4
Heusweiler,829,34
Kleinblittersdorf,680,15
Püttlingen,851,42
Quierschied,571,10
Riegelsberg,713,39
Saarbrücken,10045,378
Sulzbach/Saar,710,14
Völklingen,2567,101
