Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,502,42
Großrosseln,407,21
Heusweiler,1053,81
Kleinblittersdorf,942,143
Püttlingen,1087,83
Quierschied,768,94
Riegelsberg,843,56
Saarbrücken,11799,568
Sulzbach/Saar,1029,154
Völklingen,3169,161
