Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,407,4
Großrosseln,359,3
Heusweiler,868,15
Kleinblittersdorf,713,5
Püttlingen,888,6
Quierschied,600,12
Riegelsberg,727,7
Saarbrücken,10444,77
Sulzbach/Saar,737,5
Völklingen,2763,37
