Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,368,3
Großrosseln,331,1
Heusweiler,756,6
Kleinblittersdorf,646,3
Püttlingen,779,5
Quierschied,533,9
Riegelsberg,646,4
Saarbrücken,9239,160
Sulzbach/Saar,672,14
Völklingen,2352,56
