Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,359,1
Großrosseln,329,0
Heusweiler,746,1
Kleinblittersdorf,639,3
Püttlingen,758,6
Quierschied,517,0
Riegelsberg,636,0
Saarbrücken,8931,52
Sulzbach/Saar,654,8
Völklingen,2274,6
