Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,358,2
Großrosseln,329,0
Heusweiler,746,1
Kleinblittersdorf,638,3
Püttlingen,757,4
Quierschied,517,8
Riegelsberg,636,0
Saarbrücken,8926,66
Sulzbach/Saar,650,11
Völklingen,2272,5
