Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,405,3
Großrosseln,359,3
Heusweiler,864,12
Kleinblittersdorf,712,5
Püttlingen,883,3
Quierschied,597,10
Riegelsberg,724,4
Saarbrücken,10418,61
Sulzbach/Saar,736,8
Völklingen,2751,42
