Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,355,13
Großrosseln,328,4
Heusweiler,739,23
Kleinblittersdorf,635,8
Püttlingen,747,6
Quierschied,508,11
Riegelsberg,634,12
Saarbrücken,8809,180
Sulzbach/Saar,633,34
Völklingen,2261,44
