Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,390,9
Großrosseln,346,7
Heusweiler,821,30
Kleinblittersdorf,680,15
Püttlingen,850,46
Quierschied,571,14
Riegelsberg,713,43
Saarbrücken,10005,370
Sulzbach/Saar,709,14
Völklingen,2556,99
