Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,385,6
Großrosseln,346,8
Heusweiler,820,30
Kleinblittersdorf,675,14
Püttlingen,844,44
Quierschied,569,20
Riegelsberg,707,43
Saarbrücken,9963,380
Sulzbach/Saar,706,14
Völklingen,2544,98
