Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,460,23
Großrosseln,386,14
Heusweiler,972,44
Kleinblittersdorf,799,64
Püttlingen,1004,54
Quierschied,674,41
Riegelsberg,787,18
Saarbrücken,11231,292
Sulzbach/Saar,875,57
Völklingen,3008,106
