Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,327,27
Großrosseln,315,27
Heusweiler,700,33
Kleinblittersdorf,618,12
Püttlingen,720,25
Quierschied,490,23
Riegelsberg,609,36
Saarbrücken,8329,559
Sulzbach/Saar,573,32
Völklingen,2140,163
