Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,456,22
Großrosseln,381,10
Heusweiler,962,43
Kleinblittersdorf,765,36
Püttlingen,982,39
Quierschied,656,25
Riegelsberg,779,12
Saarbrücken,11161,272
Sulzbach/Saar,857,48
Völklingen,2972,92
