Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,668,22
Großrosseln,521,15
Heusweiler,1282,25
Kleinblittersdorf,1118,9
Püttlingen,1385,34
Quierschied,1007,24
Riegelsberg,1084,26
Saarbrücken,14913,433
Sulzbach/Saar,1382,43
Völklingen,3888,63
