Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,370,5
Großrosseln,331,1
Heusweiler,758,7
Kleinblittersdorf,650,6
Püttlingen,779,1
Quierschied,537,11
Riegelsberg,651,9
Saarbrücken,9310,187
Sulzbach/Saar,675,12
Völklingen,2375,62
