Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,358,2
Großrosseln,329,0
Heusweiler,745,0
Kleinblittersdorf,638,3
Püttlingen,757,5
Quierschied,517,8
Riegelsberg,636,1
Saarbrücken,8922,74
Sulzbach/Saar,650,12
Völklingen,2272,8
