Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,359,1
Großrosseln,329,0
Heusweiler,746,1
Kleinblittersdorf,640,2
Püttlingen,759,3
Quierschied,517,0
Riegelsberg,637,1
Saarbrücken,8951,31
Sulzbach/Saar,654,6
Völklingen,2276,4
