Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,490,34
Großrosseln,400,19
Heusweiler,1032,70
Kleinblittersdorf,917,152
Püttlingen,1076,94
Quierschied,739,83
Riegelsberg,834,55
Saarbrücken,11658,497
Sulzbach/Saar,992,135
Völklingen,3130,158
