Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,333,31
Großrosseln,322,30
Heusweiler,705,30
Kleinblittersdorf,619,4
Püttlingen,730,25
Quierschied,493,15
Riegelsberg,613,25
Saarbrücken,8442,475
Sulzbach/Saar,579,30
Völklingen,2172,153
