Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,327,26
Großrosseln,318,29
Heusweiler,700,33
Kleinblittersdorf,618,12
Püttlingen,720,24
Quierschied,491,24
Riegelsberg,609,35
Saarbrücken,8337,549
Sulzbach/Saar,575,32
Völklingen,2141,161
