Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,308,16
Großrosseln,303,22
Heusweiler,689,40
Kleinblittersdorf,614,22
Püttlingen,706,32
Quierschied,481,32
Riegelsberg,597,48
Saarbrücken,8120,679
Sulzbach/Saar,562,34
Völklingen,2072,151
