Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,366,3
Großrosseln,330,1
Heusweiler,749,3
Kleinblittersdorf,643,3
Püttlingen,772,12
Quierschied,523,4
Riegelsberg,643,5
Saarbrücken,9082,104
Sulzbach/Saar,662,6
Völklingen,2301,21
