Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,405,3
Großrosseln,358,2
Heusweiler,862,10
Kleinblittersdorf,710,3
Püttlingen,882,2
Quierschied,591,4
Riegelsberg,723,3
Saarbrücken,10410,60
Sulzbach/Saar,736,8
Völklingen,2742,40
