Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,414,3
Großrosseln,366,5
Heusweiler,880,8
Kleinblittersdorf,715,2
Püttlingen,901,11
Quierschied,609,3
Riegelsberg,735,8
Saarbrücken,10538,69
Sulzbach/Saar,743,4
Völklingen,2796,25
