Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,391,6
Großrosseln,346,3
Heusweiler,833,34
Kleinblittersdorf,693,27
Püttlingen,856,41
Quierschied,574,9
Riegelsberg,713,27
Saarbrücken,10081,346
Sulzbach/Saar,711,11
Völklingen,2585,107
