Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,579,28
Großrosseln,458,21
Heusweiler,1170,51
Kleinblittersdorf,1069,28
Püttlingen,1280,81
Quierschied,913,48
Riegelsberg,971,52
Saarbrücken,13500,699
Sulzbach/Saar,1245,67
Völklingen,3620,181
