Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,424,10
Großrosseln,369,3
Heusweiler,895,13
Kleinblittersdorf,722,6
Püttlingen,925,23
Quierschied,613,4
Riegelsberg,757,18
Saarbrücken,10668,122
Sulzbach/Saar,774,27
Völklingen,2827,27
