Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,489,34
Großrosseln,398,18
Heusweiler,1028,66
Kleinblittersdorf,905,149
Püttlingen,1069,88
Quierschied,732,78
Riegelsberg,831,52
Saarbrücken,11622,479
Sulzbach/Saar,975,121
Völklingen,3117,149
