Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,383,8
Großrosseln,345,12
Heusweiler,801,37
Kleinblittersdorf,671,17
Püttlingen,825,45
Quierschied,569,29
Riegelsberg,695,40
Saarbrücken,9793,351
Sulzbach/Saar,703,21
Völklingen,2491,76
