Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,484,35
Großrosseln,393,13
Heusweiler,1017,63
Kleinblittersdorf,881,131
Püttlingen,1056,80
Quierschied,722,75
Riegelsberg,818,40
Saarbrücken,11480,402
Sulzbach/Saar,933,89
Völklingen,3078,130
