Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,449,17
Großrosseln,380,9
Heusweiler,954,46
Kleinblittersdorf,750,21
Püttlingen,976,36
Quierschied,647,20
Riegelsberg,778,14
Saarbrücken,11078,237
Sulzbach/Saar,844,41
Völklingen,2948,79
