Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,412,5
Großrosseln,361,2
Heusweiler,878,10
Kleinblittersdorf,715,2
Püttlingen,899,11
Quierschied,609,9
Riegelsberg,734,7
Saarbrücken,10527,83
Sulzbach/Saar,743,6
Völklingen,2794,31
