Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,359,1
Großrosseln,329,0
Heusweiler,746,1
Kleinblittersdorf,639,2
Püttlingen,758,5
Quierschied,517,0
Riegelsberg,636,0
Saarbrücken,8934,51
Sulzbach/Saar,654,8
Völklingen,2274,6
