Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,419,8
Großrosseln,366,5
Heusweiler,882,6
Kleinblittersdorf,716,1
Püttlingen,914,18
Quierschied,610,1
Riegelsberg,745,15
Saarbrücken,10582,72
Sulzbach/Saar,759,17
Völklingen,2807,21
