Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,562,30
Großrosseln,446,20
Heusweiler,1130,47
Kleinblittersdorf,1057,48
Püttlingen,1230,81
Quierschied,887,61
Riegelsberg,943,60
Saarbrücken,13046,711
Sulzbach/Saar,1209,84
Völklingen,3490,155
