Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,420,8
Großrosseln,366,5
Heusweiler,882,6
Kleinblittersdorf,717,2
Püttlingen,915,18
Quierschied,610,1
Riegelsberg,745,15
Saarbrücken,10590,74
Sulzbach/Saar,759,16
Völklingen,2808,22
