Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,840,2,2
Aying,430,3,3
Baierbrunn,242,0,0
Brunnthal,385,2,2
Feldkirchen,558,0,0
Garching,1537,3,3
Gräfelfing,1072,6,6
Grasbrunn,391,0,0
Grünwald,873,4,4
Haar,2263,7,7
Hohenbrunn,549,1,1
Höhenkirchen-Siegertsbrunn,873,5,5
Ismaning,1271,1,1
Kirchheim,842,2,2
Neubiberg,1016,3,3
Neuried,586,6,6
Oberhaching,1035,5,5
Oberschleißheim,988,3,3
Ottobrunn,1869,3,3
Planegg,786,3,3
Pullach,727,2,2
Putzbrunn,520,4,4
Sauerlach,616,0,0
Schäftlarn,421,7,7
Straßlach-Dingharting,223,1,1
Taufkirchen,1548,5,5
Unterföhring,751,2,2
Unterhaching,1814,9,9
Unterschleißheim,2511,10,10
