Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,570,3,3
Aying,283,5,5
Baierbrunn,148,1,1
Brunnthal,220,1,1
Feldkirchen,358,5,5
Garching,1104,5,5
Gräfelfing,709,9,9
Grasbrunn,273,0,0
Grünwald,593,3,3
Haar,1764,8,8
Hohenbrunn,339,3,3
Höhenkirchen-Siegertsbrunn,516,1,1
Ismaning,834,5,5
Kirchheim,532,4,4
Neubiberg,716,2,2
Neuried,405,4,4
Oberhaching,740,2,2
Oberschleißheim,718,5,5
Ottobrunn,1350,8,8
Planegg,550,6,6
Pullach,558,2,2
Putzbrunn,348,1,1
Sauerlach,340,5,5
Schäftlarn,248,1,1
Straßlach-Dingharting,136,1,1
Taufkirchen,1125,6,6
Unterföhring,573,2,2
Unterhaching,1224,11,11
Unterschleißheim,1771,8,8
