Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,452,1,1
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,182,0,0
Feldkirchen,253,0,0
Garching,851,1,1
Gräfelfing,560,1,1
Grasbrunn,216,0,0
Grünwald,509,0,0
Haar,1473,0,0
Hohenbrunn,257,0,0
Höhenkirchen-Siegertsbrunn,419,1,1
Ismaning,683,2,2
Kirchheim,440,0,0
Neubiberg,563,3,3
Neuried,331,0,0
Oberhaching,645,1,1
Oberschleißheim,558,0,0
Ottobrunn,1046,2,2
Planegg,452,1,1
Pullach,491,1,1
Putzbrunn,293,0,0
Sauerlach,254,0,0
Schäftlarn,199,0,0
Straßlach-Dingharting,109,0,0
Taufkirchen,903,1,1
Unterföhring,497,0,0
Unterhaching,1003,0,0
Unterschleißheim,1447,1,1
