Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,459,0,0
Aying,199,1,1
Baierbrunn,126,0,0
Brunnthal,189,1,1
Feldkirchen,257,0,0
Garching,870,5,5
Gräfelfing,570,0,0
Grasbrunn,218,0,0
Grünwald,514,0,0
Haar,1488,1,1
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,429,0,0
Ismaning,696,1,1
Kirchheim,445,1,1
Neubiberg,577,1,1
Neuried,334,0,0
Oberhaching,650,3,3
Oberschleißheim,575,1,1
Ottobrunn,1062,2,2
Planegg,457,2,2
Pullach,500,2,2
Putzbrunn,297,1,1
Sauerlach,265,2,2
Schäftlarn,200,0,0
Straßlach-Dingharting,112,0,0
Taufkirchen,924,1,1
Unterföhring,509,1,1
Unterhaching,1020,2,2
Unterschleißheim,1465,2,2
