Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,625,5,5
Aying,319,4,4
Baierbrunn,160,2,2
Brunnthal,263,6,6
Feldkirchen,410,7,7
Garching,1170,10,10
Gräfelfing,793,9,9
Grasbrunn,319,9,9
Grünwald,643,5,5
Haar,1872,19,19
Hohenbrunn,402,5,5
Höhenkirchen-Siegertsbrunn,572,13,13
Ismaning,915,11,11
Kirchheim,587,9,9
Neubiberg,796,5,5
Neuried,444,4,4
Oberhaching,801,5,5
Oberschleißheim,776,5,5
Ottobrunn,1474,10,10
Planegg,606,6,6
Pullach,613,6,6
Putzbrunn,391,7,7
Sauerlach,428,8,8
Schäftlarn,283,3,3
Straßlach-Dingharting,167,1,1
Taufkirchen,1214,13,13
Unterföhring,608,5,5
Unterhaching,1371,24,24
Unterschleißheim,1916,4,4
