Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,0
Aying,193,0
Baierbrunn,124,0
Brunnthal,178,0
Feldkirchen,250,0
Garching,842,1
Gräfelfing,548,0
Grasbrunn,209,0
Grünwald,502,0
Haar,1452,0
Hohenbrunn,253,0
Höhenkirchen-Siegertsbrunn,410,0
Ismaning,668,0
Kirchheim,433,0
Neubiberg,553,0
Neuried,324,0
Oberhaching,624,2
Oberschleißheim,550,1
Ottobrunn,1038,3
Planegg,444,0
Pullach,480,0
Putzbrunn,292,1
Sauerlach,249,1
Schäftlarn,193,0
Straßlach-Dingharting,105,0
Taufkirchen,888,0
Unterföhring,494,0
Unterhaching,989,0
Unterschleißheim,1400,0
