Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,901,2,2
Aying,466,3,3
Baierbrunn,264,2,2
Brunnthal,430,2,2
Feldkirchen,608,3,3
Garching,1651,11,11
Gräfelfing,1160,13,13
Grasbrunn,429,4,4
Grünwald,982,20,20
Haar,2380,11,11
Hohenbrunn,590,7,7
Höhenkirchen-Siegertsbrunn,941,12,12
Ismaning,1399,15,15
Kirchheim,902,10,10
Neubiberg,1115,10,10
Neuried,641,14,14
Oberhaching,1120,6,6
Oberschleißheim,1076,3,3
Ottobrunn,2003,13,13
Planegg,848,5,5
Pullach,778,6,6
Putzbrunn,540,2,2
Sauerlach,659,4,4
Schäftlarn,474,6,6
Straßlach-Dingharting,244,7,7
Taufkirchen,1648,10,10
Unterföhring,822,9,9
Unterhaching,1958,14,14
Unterschleißheim,2682,16,16
