Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,849,3,3
Aying,439,3,3
Baierbrunn,248,3,3
Brunnthal,391,5,5
Feldkirchen,565,6,6
Garching,1563,12,12
Gräfelfing,1081,3,3
Grasbrunn,399,3,3
Grünwald,892,8,8
Haar,2285,6,6
Hohenbrunn,556,5,5
Höhenkirchen-Siegertsbrunn,891,8,8
Ismaning,1297,9,9
Kirchheim,854,3,3
Neubiberg,1032,12,12
Neuried,593,3,3
Oberhaching,1050,8,8
Oberschleißheim,1009,11,11
Ottobrunn,1887,6,6
Planegg,797,3,3
Pullach,732,3,3
Putzbrunn,523,1,1
Sauerlach,624,2,2
Schäftlarn,431,1,1
Straßlach-Dingharting,225,1,1
Taufkirchen,1574,13,13
Unterföhring,766,5,5
Unterhaching,1839,14,14
Unterschleißheim,2562,23,23
